PIcp21,PIcp39,PIcp45,PIcp71,PIcp58,PIcp62,PIcp75,PIcp101,PIcp29,PIcp37,Picp68,PIcp93
183/183,171/171,173/173,99/99,131/131,176/176,NA,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,NA,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,NA,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,NA,107/107,126/126,215/215,110/110,121/121
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/107,126/126,206/206,NA,115/115
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/107,126/126,206/206,NA,115/115
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/98,126/126,206/206,NA,115/115
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/107,126/126,206/206,NA,115/115
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/98,126/126,206/206,NA,115/115
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/98,126/126,206/206,NA,115/115
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/95,126/126,206/206,NA,115/115
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,NA,110/110,121/121
NA,171/171,170/170,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,NA,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,NA,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,NA,176/176,159/159,107/107,126/126,215/215,NA,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,NA,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,NA,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,NA,110/110,121/121
NA,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,NA
NA,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
NA,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,134/134,176/176,159/159,107/107,NA,215/215,110/110,121/121
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/98,126/126,206/206,NA,115/115
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/98,126/126,206/206,NA,115/115
186/186,162/171,NA,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
186/186,171/171,173/173,108/108,131/131,176/176,159/159,107/107,126/126,215/215,NA,121/121
183/183,171/171,173/173,99/99,131/131,176/176,NA,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,NA,110/110,121/121
183/183,171/171,173/173,NA,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,NA,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,NA,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
NA,171/171,173/173,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,NA,110/110,121/121
183/183,171/171,173/173,99/99,131/131,NA,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,NA,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,NA
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,NA
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,NA,110/110,121/121
183/183,171/171,NA,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/174,NA,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,NA,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,NA
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,NA
183/183,171/171,173/173,99/99,131/131,176/176,159/159,NA,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,NA,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,NA,215/215,110/110,121/121
186/186,NA,143/143,93/93,99/99,149/149,150/150,72/72,102/105,245/245,122/122,NA
186/186,NA,137/143,93/93,99/99,149/149,150/150,72/72,105/105,245/245,122/122,NA
183/183,171/171,173/?,99/99,131/131,176/176,159/159,107/107,126/126,NA,110/110,NA
NA,171/171,173/173,99/99,131/131,176/176,NA,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,NA,NA,159/159,107/107,126/126,215/215,110/110,121/121
NA,NA,176/176,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
186/186,165/165,179/179,108/108,108/137,173/173,159/159,98/98,126/126,NA,NA,115/115
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,NA,110/110,NA
183/183,171/171,173/173,NA,NA,170/170,153/153,107/107,126/126,215/215,110/110,121/121
NA,171/171,NA,102/102,131/131,179/179,NA,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,NA,NA,NA,159/159,107/107,126/126,215/215,110/110,121/121
186/186,165/165,179/179,108/108,137/137,173/173,159/159,98/98,126/126,NA,NA,NA
NA,NA,NA,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
NA,NA,NA,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
NA,NA,NA,99/99,134/134,176/176,159/159,107/107,126/126,215/215,110/110,121/121
NA,NA,NA,96/96,131/131,170/170,153/153,107/107,126/126,215/215,110/110,121/121
NA,NA,NA,99/99,131/131,176/176,159/159,107/107,126/126,215/215,110/110,121/121
183/183,171/171,173/173,99/99,131/131,176/176,159/159,107/107,126/126,NA,NA,NA
